zone,row,start,end
Katsomo,1,1,25
Katsomo,2,26,50
Katsomo,3,51,75
Katsomo,4,76,100
Katsomo,5,101,125
Katsomo,6,126,150
Katsomo,7,151,175
Katsomo,8,176,200
Katsomo,9 vasen,201,206
Katsomo,9 oikea,216,225
Katsomo,10 vasen,226,230
Katsomo,10 oikea,241,250
