zone,row,start,end
15:00 Vanha kirkko – Kaato,Numeroimattomat paikat,1,58
16:00 Vanha kirkko – Kaato,Numeroimattomat paikat,1,58
17:00 Vanha kirkko – Kaato,Numeroimattomat paikat,1,58
