zone,row,start,end
22:00 Kaato – Tampere-talo,Numeroimattomat paikat,1,50
24:00 Kaato – Tampere-talo (BUSSI A),Numeroimattomat paikat,1,50
24:00 Kaato – Tampere-talo (BUSSI B),Numeroimattomat paikat,1,58
