zone,row,start,end
15:00 Vanha kirkko – Kaato,Numeroimattomat paikat,1,50
16:00 Vanha kirkko – Kaato,Numeroimattomat paikat,1,50
17:00 Vanha kirkko – Kaato,Numeroimattomat paikat,1,50
