zone,row,start,end
15:40 Pakkahuoneenaukio – 16:00 Vanha kirkko – Kaato,Numeroimattomat paikat,1,57
17:00 Vanha kirkko – Kaato,Numeroimattomat paikat,1,57
18:00 Vanha kirkko – Kaato,Numeroimattomat paikat,1,57
